#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 15 15 30 00 1 4431.664
2011 03 15 15 15 00 1 4431.635
2011 03 15 15 00 00 1 4431.601
2011 03 15 14 45 00 1 4431.567
2011 03 15 14 30 00 1 4431.540
2011 03 15 14 15 00 1 4431.511
2011 03 15 14 00 00 1 4431.490
2011 03 15 13 45 00 1 4431.459
2011 03 15 13 30 00 1 4431.441
2011 03 15 13 15 00 1 4431.414
2011 03 15 13 00 00 1 4431.401
2011 03 15 12 45 00 1 4431.389
2011 03 15 12 30 00 1 4431.375
2011 03 15 12 15 00 1 4431.362
2011 03 15 12 00 00 1 4431.353
2011 03 15 11 45 00 1 4431.350
2011 03 15 11 30 00 1 4431.355
2011 03 15 11 15 00 1 4431.357
2011 03 15 11 00 00 1 4431.364
2011 03 15 10 45 00 1 4431.373
2011 03 15 10 30 00 1 4431.386
2011 03 15 10 15 00 1 4431.400
2011 03 15 10 00 00 1 4431.421
2011 03 15 09 45 00 1 4431.433
2011 03 15 09 30 00 1 4431.458
2011 03 15 09 15 00 1 4431.487
2011 03 15 09 00 00 1 4431.516
2011 03 15 08 45 00 1 4431.553
2011 03 15 08 30 00 1 4431.586
2011 03 15 08 15 00 1 4431.613
2011 03 15 08 00 00 1 4431.653
2011 03 15 07 45 00 1 4431.689
2011 03 15 07 30 00 1 4431.719
2011 03 15 07 15 00 1 4431.755
2011 03 15 07 00 00 1 4431.783
2011 03 15 06 45 00 1 4431.812
2011 03 15 06 30 00 1 4431.845
2011 03 15 06 15 00 1 4431.870
2011 03 15 06 00 00 1 4431.895
2011 03 15 05 45 00 1 4431.919
2011 03 15 05 30 00 1 4431.936
2011 03 15 05 15 00 1 4431.952
2011 03 15 05 00 00 1 4431.972
2011 03 15 04 45 00 1 4431.981
2011 03 15 04 30 00 1 4431.991
2011 03 15 04 15 00 1 4431.999
2011 03 15 04 00 00 1 4431.997
2011 03 15 03 45 00 1 4432.001
2011 03 15 03 30 00 1 4432.001
2011 03 15 03 15 00 1 4431.997
2011 03 15 03 00 00 1 4431.999
2011 03 15 02 45 00 1 4431.989
2011 03 15 02 30 00 1 4431.978
2011 03 15 02 15 00 1 4431.969
2011 03 15 02 00 00 1 4431.960
2011 03 15 01 45 00 1 4431.950
2011 03 15 01 30 00 1 4431.937
2011 03 15 01 15 00 1 4431.926
2011 03 15 01 00 00 1 4431.917
2011 03 15 00 45 00 1 4431.908
2011 03 15 00 30 00 1 4431.909
2011 03 15 00 15 00 1 4431.903
2011 03 15 00 00 00 1 4431.887
2011 03 14 23 45 00 1 4431.886
2011 03 14 23 30 00 1 4431.884
2011 03 14 23 15 00 1 4431.887
2011 03 14 23 00 00 1 4431.883
2011 03 14 22 45 00 1 4431.881
2011 03 14 22 30 00 1 4431.881
2011 03 14 22 15 00 1 4431.880
2011 03 14 22 00 00 1 4431.879
2011 03 14 21 45 00 1 4431.887
2011 03 14 21 30 00 1 4431.887
2011 03 14 21 15 00 1 4431.901
2011 03 14 21 00 00 1 4431.895
2011 03 14 20 45 00 1 4431.904
2011 03 14 20 30 00 1 4431.903
2011 03 14 20 15 00 1 4431.916
2011 03 14 20 00 00 1 4431.923
2011 03 14 19 45 00 1 4431.920
2011 03 14 19 30 00 1 4431.917
2011 03 14 19 15 00 1 4431.923
2011 03 14 19 00 00 1 4431.924
2011 03 14 18 45 00 1 4431.934
2011 03 14 18 30 00 1 4431.930
2011 03 14 18 15 00 1 4431.920
2011 03 14 18 00 00 1 4431.914
2011 03 14 17 45 00 1 4431.916
2011 03 14 17 30 00 1 4431.905
2011 03 14 17 15 00 1 4431.895
2011 03 14 17 00 00 1 4431.874
2011 03 14 16 45 00 1 4431.859
2011 03 14 16 30 00 1 4431.839
2011 03 14 16 15 00 1 4431.823
2011 03 14 16 00 00 1 4431.800
2011 03 14 15 45 00 1 4431.773
2011 03 14 15 30 00 1 4431.743
2011 03 14 15 15 00 1 4431.715
2011 03 14 15 00 00 1 4431.695
2011 03 14 14 45 00 1 4431.665
2011 03 14 14 30 00 1 4431.629
2011 03 14 14 15 00 1 4431.600
2011 03 14 14 00 00 1 4431.576
2011 03 14 13 45 00 1 4431.538
2011 03 14 13 30 00 1 4431.511
2011 03 14 13 15 00 1 4431.492
2011 03 14 13 00 00 1 4431.459
2011 03 14 12 45 00 1 4431.425
2011 03 14 12 30 00 1 4431.410
2011 03 14 12 15 00 1 4431.393
2011 03 14 12 00 00 1 4431.374
2011 03 14 11 45 00 1 4431.367
2011 03 14 11 30 00 1 4431.353
2011 03 14 11 15 00 1 4431.342
2011 03 14 11 00 00 1 4431.342
2011 03 14 10 45 00 1 4431.346
2011 03 14 10 30 00 1 4431.350
2011 03 14 10 15 00 1 4431.345
2011 03 14 10 00 00 1 4431.357
2011 03 14 09 45 00 1 4431.370
2011 03 14 09 30 00 1 4431.400
2011 03 14 09 15 00 1 4431.400
2011 03 14 09 00 00 1 4431.420
2011 03 14 08 45 00 1 4431.455
2011 03 14 08 30 00 1 4431.478
2011 03 14 08 15 00 1 4431.505
2011 03 14 08 00 00 1 4431.543
2011 03 14 07 45 00 1 4431.567
2011 03 14 07 30 00 1 4431.596
2011 03 14 07 15 00 1 4431.628
2011 03 14 07 00 00 1 4431.671
2011 03 14 06 45 00 1 4431.705
2011 03 14 06 30 00 1 4431.721
2011 03 14 06 15 00 1 4431.756
2011 03 14 06 00 00 1 4431.796
2011 03 14 05 45 00 1 4431.816
2011 03 14 05 30 00 1 4431.841
