#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 12 15 46 00 2 5736.860
2011 03 12 15 45 00 2 5736.856
2011 03 12 15 44 00 2 5736.854
2011 03 12 15 43 00 2 5736.860
2011 03 12 15 42 00 2 5736.859
2011 03 12 15 41 00 2 5736.853
2011 03 12 15 40 00 2 5736.854
2011 03 12 15 39 00 2 5736.856
2011 03 12 15 38 00 2 5736.855
2011 03 12 15 37 00 2 5736.856
2011 03 12 15 36 00 2 5736.855
2011 03 12 15 35 00 2 5736.852
2011 03 12 15 34 00 2 5736.852
2011 03 12 15 33 00 2 5736.859
2011 03 12 15 32 00 2 5736.861
2011 03 12 15 31 00 2 5736.862
2011 03 12 15 30 00 2 5736.864
2011 03 12 15 29 00 2 5736.867
2011 03 12 15 28 00 2 5736.872
2011 03 12 15 27 00 2 5736.869
2011 03 12 15 26 00 2 5736.861
2011 03 12 15 25 00 2 5736.858
2011 03 12 15 24 00 2 5736.858
2011 03 12 15 23 00 2 5736.849
2011 03 12 15 22 00 2 5736.847
2011 03 12 15 21 00 2 5736.847
2011 03 12 15 20 00 2 5736.844
2011 03 12 15 19 00 2 5736.839
2011 03 12 15 18 00 2 5736.849
2011 03 12 15 17 00 2 5736.856
2011 03 12 15 16 00 2 5736.856
2011 03 12 15 15 00 2 5736.856
2011 03 12 15 14 00 2 5736.853
2011 03 12 15 13 00 2 5736.848
2011 03 12 15 12 00 2 5736.851
2011 03 12 15 11 00 2 5736.849
2011 03 12 15 10 00 2 5736.844
2011 03 12 15 09 00 2 5736.844
2011 03 12 15 08 00 2 5736.846
2011 03 12 15 07 00 2 5759.185
2011 03 12 15 06 00 2 5736.849
2011 03 12 15 05 00 2 5736.843
2011 03 12 15 04 00 2 5757.627
2011 03 12 15 03 00 2 5736.845
2011 03 12 15 02 00 2 5736.843
2011 03 12 15 01 00 2 5759.563
2011 03 12 15 00 00 2 5736.842
2011 03 12 14 59 00 2 5736.839
2011 03 12 14 58 00 2 5736.841
2011 03 12 14 57 00 2 5736.846
2011 03 12 14 56 00 2 5736.843
2011 03 12 14 55 00 2 5736.846
2011 03 12 14 54 00 2 5736.841
2011 03 12 14 53 00 2 5736.837
2011 03 12 14 52 00 2 5736.834
2011 03 12 14 51 00 2 5736.835
2011 03 12 14 50 00 2 5736.834
2011 03 12 14 49 00 2 5736.829
2011 03 12 14 48 00 2 5736.825
2011 03 12 14 47 00 2 5736.821
2011 03 12 14 46 00 2 5736.821
2011 03 12 14 45 00 2 5736.814
2011 03 12 14 44 00 2 5736.815
2011 03 12 14 43 00 2 5736.818
2011 03 12 14 42 00 2 5736.817
2011 03 12 14 41 00 2 5736.818
2011 03 12 14 40 00 2 5736.817
2011 03 12 14 39 00 2 5736.820
2011 03 12 14 38 00 2 5736.817
2011 03 12 14 37 00 2 5736.817
2011 03 12 14 36 00 2 5736.819
2011 03 12 14 35 00 2 5736.827
2011 03 12 14 34 00 2 5736.826
2011 03 12 14 33 00 2 5736.821
2011 03 12 14 32 00 2 5736.817
2011 03 12 14 31 00 2 5736.818
2011 03 12 14 30 00 2 5736.821
2011 03 12 14 29 00 2 5736.814
2011 03 12 14 28 00 2 5736.814
2011 03 12 14 27 00 2 5736.810
2011 03 12 14 26 00 2 5736.800
2011 03 12 14 25 00 2 5736.801
2011 03 12 14 24 00 2 5736.803
2011 03 12 14 23 00 2 5736.806
2011 03 12 14 22 00 2 5736.806
2011 03 12 14 21 00 2 5736.811
2011 03 12 14 20 00 2 5736.817
2011 03 12 14 19 00 2 5736.820
2011 03 12 14 18 00 2 5736.827
2011 03 12 14 17 00 2 5736.827
2011 03 12 14 16 00 2 5736.827
2011 03 12 14 15 00 2 5736.827
2011 03 12 14 14 00 2 5736.825
2011 03 12 14 13 00 2 5736.830
2011 03 12 14 12 00 2 5736.833
2011 03 12 14 11 00 2 5736.830
2011 03 12 14 10 00 2 5736.827
2011 03 12 14 09 00 2 5736.826
2011 03 12 14 08 00 2 5736.821
2011 03 12 14 07 00 2 5759.908
2011 03 12 14 06 00 2 5736.818
2011 03 12 14 05 00 2 5736.818
2011 03 12 14 04 00 2 5760.834
2011 03 12 14 03 00 2 5736.812
2011 03 12 14 02 00 2 5736.812
2011 03 12 14 01 00 2 5759.285
2011 03 12 14 00 00 2 5736.813
2011 03 12 13 59 00 2 5736.820
2011 03 12 13 58 00 2 5736.817
2011 03 12 13 57 00 2 5736.818
2011 03 12 13 56 00 2 5736.817
2011 03 12 13 55 00 2 5736.816
2011 03 12 13 54 00 2 5736.816
2011 03 12 13 53 00 2 5736.816
2011 03 12 13 52 00 2 5736.814
2011 03 12 13 51 00 2 5736.814
2011 03 12 13 50 00 2 5736.814
2011 03 12 13 49 00 2 5736.811
2011 03 12 13 48 00 2 5736.809
2011 03 12 13 47 00 2 5736.806
2011 03 12 13 46 00 2 5736.806
2011 03 12 13 45 00 2 5736.812
2011 03 12 13 44 00 2 5736.811
2011 03 12 13 43 00 2 5736.812
2011 03 12 13 42 00 2 5736.815
2011 03 12 13 41 00 2 5736.817
2011 03 12 13 40 00 2 5736.819
2011 03 12 13 39 00 2 5736.814
2011 03 12 13 38 00 2 5736.808
2011 03 12 13 37 00 2 5736.809
2011 03 12 13 36 00 2 5736.811
2011 03 12 13 35 00 2 5736.811
2011 03 12 13 34 00 2 5736.808
2011 03 12 13 33 00 2 5736.805
2011 03 12 13 32 00 2 5736.801
2011 03 12 13 31 00 2 5736.801
2011 03 12 13 30 00 2 5736.802
2011 03 12 13 29 00 2 5736.798
2011 03 12 13 28 00 2 5736.793
2011 03 12 13 27 00 2 5736.790
2011 03 12 13 26 00 2 5736.798
2011 03 12 13 25 00 2 5736.799
2011 03 12 13 24 00 2 5736.795
2011 03 12 13 23 00 2 5736.793
2011 03 12 13 22 00 2 5736.790
2011 03 12 13 21 00 2 5736.797
2011 03 12 13 20 00 2 5736.794
2011 03 12 13 19 00 2 5736.792
2011 03 12 13 18 00 2 5736.800
2011 03 12 13 17 00 2 5736.800
2011 03 12 13 16 00 2 5736.803
2011 03 12 13 15 00 2 5736.804
2011 03 12 13 14 00 2 5736.797
2011 03 12 13 13 00 2 5736.802
2011 03 12 13 12 00 2 5736.808
2011 03 12 13 11 00 2 5736.812
2011 03 12 13 10 00 2 5736.806
